ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	127/2803	493/28814	3.91798227713196e-25	2.43972756397007e-21	1.5325496991392e-21	Ece1/Isl2/Lhx3/Epha8/B4galt5/Myot/Sema4d/Nefl/Tiam2/Amigo1/Drd2/Lrp4/L1cam/Cckar/Epha4/Apbb2/Nfasc/Ngfr/Nrcam/Prrxl1/Mbp/Nr2e1/Ptpro/Kalrn/Lmtk2/Olfm1/Sema4c/Spg20/Ntrk1/Vangl2/Pak1/Pak2/Vegfa/Rab21/Pak3/Fezf1/Nog/Fstl4/Ncam1/Sin3a/Lama2/Ablim1/Tctn1/Cntn2/Vstm2l/Ptprs/Lhx4/Tbr1/Sema3b/B3gnt2/Auts2/Sema5b/Wnt3/Aplp2/Csf1r/Disc1/Slitrk2/Phox2b/Ntrk3/Sema6a/Ryk/Ptk2/Dpysl5/Map6/Tubb2b/Smad4/Gap43/Chrnb2/Rtn4rl1/Plppr4/Lpar3/Gli3/Picalm/Robo2/Edn2/Arhgap35/Gfra3/Fxn/Bdnf/Myo5b/Unc5b/Shtn1/Dscam/Fzd3/Ntf3/App/Sema3a/Cdh11/Ephb2/Unc5a/Islr2/Mgll/Ntng2/Braf/Barhl2/Foxb1/Tubb3/Lrtm2/Igf1r/Fbxo45/Boc/Enah/Robo1/Sema7a/Rnf165/Artn/Map1b/Nrp1/Slc9a6/Sema6d/Tbce/Cyfip1/Sema5a/Prtg/Eif2b2/Rnd2/Gsk3b/Gbx1/Numbl/Kif13b/Etv1/Ext1/Mypn/Ptprm/Prdm8/Trpc5/Col25a1	127
GO:0050808	synapse organization	114/2803	494/28814	1.20042001038953e-18	3.73750770234779e-15	2.34776882031973e-15	Ppfibp1/C1qa/Slc8a2/Sema4d/Nefl/Amigo1/Drd2/Lrp4/L1cam/Pdzrn3/Epha4/Nfasc/Sez6/Sdk2/Cacng2/Nrcam/Lrrc4/Rims3/Nrg2/Ptpro/Mdga1/Kalrn/Marcks/Ntrk1/Pak1/Zfp365/Tanc2/Erc2/Pak3/Cbln1/Ptprf/Lrrn3/Magi2/Nrxn2/Lzts3/Ghsr/Cntn2/Arhgap44/Igsf21/Ptprs/Dhx36/Tanc1/Ppfia4/Ctnnb1/Disc1/F2r/Cacna2d2/Slitrk2/Prmt3/Ptn/Ntrk3/Ptk2/Ppfia1/Gpc4/Gap43/Chrnb2/Elfn1/Pfn2/Pdlim5/Sdk1/Lrrtm3/Pclo/Picalm/Synpo/Pcdh17/C1ql1/Pdgfb/Rest/Sncb/Bdnf/Myo5b/Erbb4/Igsf9b/Kirrel3/App/Chrna7/Tmem108/Dlg4/Ephb2/C1qb/Dip2a/Palld/Ppfibp2/Chrna1/Shisa7/Ntng2/Atp2b2/Colq/Syn1/Ywhaz/Lrtm2/Igf1r/Fbxo45/Sez6l/Thbs2/Flrt1/Ctnnd2/Cdc42/Nrp1/Slc9a6/Baiap2/Drd1/Cacnb1/Lmx1b/Ube3a/Cyfip1/Rims4/Dock10/Tlr2/Gsk3b/Rock2/Grip2/Cabp1/Nedd4	114
GO:0048638	regulation of developmental growth	93/2803	402/28814	1.56232369491165e-15	1.94571792964296e-12	1.22223049479825e-12	Socs2/Sema4d/Drd2/L1cam/Suv39h1/Rai1/Cga/Rgs4/Nr3c1/Vgll4/Rps6kb1/Olfm1/Sema4c/Spg20/Pak1/Hopx/Vegfa/Slc6a4/Rab21/Nog/Fstl4/Ncam1/Sin3a/Stc2/Atxn2/Gja1/Ghsr/Rnf157/Adrb1/Sav1/Ptprs/Sema3b/Gnas/Trp73/Gdf15/Sema5b/Gpat4/Wnt3/Disc1/Cacna2d2/Tcf7l2/Ntrk3/Sema6a/Ryk/Ptk2/Gpr21/Cited2/Yy1/Rgs2/Lpar3/Dusp9/Picalm/Foxs1/Cav3/Fxn/Bdnf/Myo5b/Shtn1/Dscam/Erbb4/App/Sema3a/Tgfbr2/Islr2/Mgll/Colq/Barhl2/Gdf5/Stk3/Cdk1/Stat5b/Tbx20/Igf1r/Smad7/Adrb2/Sema7a/Ghrh/Ppib/Map1b/Nrp1/Sema6d/Sgip1/Tgfbr1/Rbp4/Cyfip1/Sema5a/Cacna1c/Eif2b2/Rnd2/Gsk3b/Ankrd26/Dlg1/Trpc5	93
GO:0042391	regulation of membrane potential	102/2803	469/28814	5.21202572541104e-15	5.11925131122462e-12	3.21573079416644e-12	Tacr1/Kcnj10/Kcnip1/Slc8a2/Kcnc2/Adora1/Kcnip2/Gna14/Sez6/Slc8a1/Ngfr/Cacng2/P2rx7/Nrcam/Rims3/Rgs4/Slc26a5/Cav1/Gpr35/Akap9/Spg20/Il6/Chrnb4/Oprd1/Rnf122/Jun/Hebp2/Cbln1/Cacna1i/Gja5/Cnr1/Kcnk3/Atp2a2/Gja1/Adrb1/Slc24a4/Grin2c/Scn1a/Ppa2/Kcnk9/Grik5/Kcnk10/Ndufs1/Htr3a/Ptn/Ntrk3/Cacna1h/Adora2a/Chrnb2/Grik1/Myh14/Pclo/Cav3/Atp1a4/Slc4a8/Bdnf/Asic1/Shtn1/Slc39a8/Igsf9b/App/Chrna7/Mtch2/Kcnh6/Kcnh3/Tmem108/Dlg4/Wwp2/Chrna2/Fhl1/Grk2/Chrna1/Kcnc4/Cftr/Cacna1d/Atp1b1/Ntsr1/Kcne3/Smad7/Adrb2/Kcnj2/P2rx1/Prelid1/Cacna2d1/Chrna3/Ywhae/Ank2/Baiap2/Drd1/Nps/Ptk2b/Cacna1c/Kcnd3/Rims4/Kcnk15/Met/Gsk3b/Grip2/Dlg1/Nedd4/Abat/Trpc5	102
GO:0031346	positive regulation of cell projection organization	98/2803	443/28814	5.7547389077521e-15	5.11925131122462e-12	3.21573079416644e-12	Ltk/Mark4/Sema4d/Nefl/Tiam2/Amigo1/L1cam/Cep120/Epha4/Sez6/Ngfr/P2rx7/Lrp6/Kalrn/Marcks/Grip1/Ntrk1/Pak1/Il6/Ripor2/Coro1c/Hdac4/Vegfa/Bcas3/Ikbkb/Rab21/Pak3/Hap1/Rab8b/Ptprf/Rhoq/Cnr1/Magi2/Epor/Nfe2l2/Dpysl3/Cep135/Alkal2/Auts2/Dhx36/Adam17/Enpp2/Enc1/Wnt3/Mns1/Disc1/Fig4/Ptn/Ntrk3/Map6/Rapgef1/Plekhm1/Rgs2/Crp/Lpar3/Nck1/Anln/Prkcq/Picalm/Cdc42ep4/Robo2/Lyn/Arhgap35/Fxn/Bdnf/Myo5b/Shtn1/Dscam/Dlg4/Ephb2/Islr2/Fuz/Ap2a1/Braf/Cbfa2t2/Def8/Igf1r/Ccdc88a/Robo1/Sema7a/Sgk1/Fez1/Cdc42/Map1b/Nrp1/Baiap2/Tgfbr1/Ptk2b/Cyfip1/Sema5a/Eps8/Met/Eif2b2/Rnd2/Gsk3b/Numbl/Kit/Trpc5	98
GO:0007264	small GTPase mediated signal transduction	95/2803	431/28814	1.89602607332578e-14	1.47581929482495e-11	9.2705695901034e-12	Rasa3/Ralgps2/Mapkap1/Gpr65/Tiam2/Itpkb/Dock5/Was/Itgav/Nkiras1/Stard13/Ngfr/Pik3cg/Rerg/Kalrn/Gpr35/Garnl3/Rhot1/Akap13/Ntrk1/Vangl2/Rnd1/Ripor2/Rapgef5/Sh2d3c/Rufy1/Kif14/Rab21/Jun/Arfgef3/Cyth2/Ogt/Rhobtb1/Rhoq/Rgl3/Uso1/Col1a2/Brap/Scai/Adrb1/Arhgap44/Stambp/Arap3/Ctnnal1/Auts2/Dlc1/Rab39/Rasgrf1/F2r/Gpsm2/Rap2a/Spry1/Dennd3/Kank1/Arhgap31/Rapgef1/Rab33a/Sipa1l2/Abca1/Psd2/Cdc42ep4/Lrrd1/Arhgap35/Shtn1/Ksr1/Sos1/Tnk1/Ephb2/Nkiras2/Ccdc88c/Cdc42bpa/Arhgef11/Kndc1/Arhgap32/Adra1b/Arhgef12/Ccdc88a/Robo1/Crk/Rhof/Cdc42/Nrp1/Baiap2/Arhgef3/Cyfip1/Eps8/Dock10/Met/Rhob/Ksr2/Rnd2/Rock2/Lpar6/Rasa2/Adgrg1	95
GO:0003012	muscle system process	94/2803	430/28814	4.40607333865532e-14	2.74366186798067e-11	1.72347037120455e-11	Tacr1/Anxa6/Ece1/Tmod3/Ncf1/Gaa/Drd2/Bdkrb2/Myog/Adora1/Gsn/Dock5/Apbb2/Tmem38b/Slc8a1/Rgs4/Mymk/Myl1/Nr3c1/Cav1/Stac/Akap9/Akap13/Pak1/Glrx3/Tmod1/Map2k4/Hdac4/Chrnb4/Myocd/Gja5/Atp2a2/Inpp5f/Ghsr/Adrb1/Fbxo32/Klf15/Srl/Scn1a/Adra2c/F2r/Ptk2/Cacna1h/Smad4/Yy1/Rgs2/Chrnb2/Becn1/Srsf1/Pdlim5/Rap1gds1/Myh14/Calm1/Neurog1/Htr1d/Edn2/Ormdl3/Cav3/Atp1a2/Gtf2i/Map2k3/Chga/Grk2/Chrna1/Cacna1d/Adra1b/Atp1b1/Tbx20/Aldoart2/Kcne3/Smad7/Adrb2/Kcnj2/P2rx1/Cacna2d1/Chrna3/Ryr3/Ank2/Drd1/Tbce/Cacna1c/Kcnd3/Met/Chrm3/Nfatc3/Gsk3b/Calcrl/Rock2/Grip2/Myom3/Dlg1/Mylk/Abat/Kit	94
GO:0032970	regulation of actin filament-based process	90/2803	414/28814	2.13937844114916e-13	1.11015912941965e-10	6.97362305904412e-11	Arhgef10l/Tacr1/Capn1/Tmod3/Gpr65/Taok1/Adora1/Gsn/Was/Rgs4/Carmil3/Cav1/Neb/Map3k1/Akap9/Akap13/Vangl2/Pak1/Tmod1/Rnd1/Pak2/Bcas3/Pak3/Ccl24/Pard3/Arfip1/Rhobtb1/Gja5/Atp2a2/Adrb1/Arhgap44/Jam3/Ect2/Dlc1/Frmd6/Csf1r/Ntrk3/Itgb3/Abracl/Ppfia1/Kank1/Cacna1h/Smad4/Coro2b/Pfn2/Clasp1/Specc1l/Nck1/Prkcq/Cdc42ep4/Synpo/Cav3/Arhgap35/Atp1a2/Wnt11/Kirrel/Ntf3/4930544G11Rik/Arpc1a/Rhpn1/Braf/Ppm1e/Grhl3/Hck/Nckap1l/Ccdc88a/Kcnj2/Pycard/Crk/Rhof/Cdc42/Nrp1/Ank2/Baiap2/Actg1/Tgfbr1/Ptk2b/Cyfip1/Sema5a/Cacna1c/Eps8/Nck2/Rdx/Met/Tlr2/Rhob/Rnd2/Rock2/Dlg1/Serpinf2	90
GO:0050769	positive regulation of neurogenesis	72/2803	298/28814	2.50680863527799e-13	1.20076133629816e-10	7.54275375602673e-11	Gfap/Sema4d/Nefl/Star/Tiam2/Amigo1/Drd2/L1cam/Xrcc6/Epha4/Kalrn/Marcks/Pak1/Zfp365/Il6/Vegfa/Rab21/Pak3/Hap1/Hif1a/Nog/Ptprf/Xrcc5/Nap1l1/Mapk8/Trp73/Trim32/Dhx36/Enpp2/Wnt3/Ctnnb1/Disc1/Ptn/Ntrk3/Ptk2/Map6/Lpar3/Tgm2/Gli3/Picalm/Id2/Robo2/Lyn/Fxn/Bdnf/Myo5b/Shtn1/Dscam/Fzd3/Ntf3/Ephb2/Islr2/Clcf1/Braf/Man2a1/Robo1/Sema7a/Sgk1/Map1b/Nrp1/Baiap2/Cyfip1/Sema5a/Met/Tlr2/Dct/Eif2b2/Rnd2/Gsk3b/Numbl/Kit/Trpc5	72
GO:0010720	positive regulation of cell development	84/2803	378/28814	3.84051454922691e-13	1.70820600700257e-10	1.07303398984415e-10	Gfap/Sema4d/Nefl/Star/Tiam2/Amigo1/Drd2/L1cam/Myog/Dock5/Xrcc6/Epha4/Rfx3/Kalrn/Marcks/Pak1/Zfp365/Il6/Vegfa/Rab21/Pak3/Hap1/Hif1a/Nog/Ptprf/Xrcc5/Trib1/Nap1l1/Mapk8/Trp73/Trim32/Dhx36/Enpp2/Wnt3/Ctnnb1/Disc1/Ptn/Ntrk3/Itgb3/Ptk2/Map6/Lpar3/Tgm2/Gli3/Picalm/Id2/Robo2/Lyn/Fxn/Bdnf/Myo5b/Shtn1/Dscam/Fzd3/Ntf3/Ephb2/Islr2/Clcf1/Cftr/Braf/Nedd9/Man2a1/Smad7/Robo1/Sema7a/Sgk1/Crk/Cdc42/Map1b/Nrp1/Baiap2/Cyfip1/Sema5a/Met/Tlr2/Dct/Eif2b2/Rnd2/Gsk3b/Grip2/Hpse/Numbl/Kit/Trpc5	84
